Events CW1&2,Events CW1&2&3,Temperature[C],Pressure[Pa],Date[MM/DD/YYYY],RTC[H:M:S EST],Timer[S],Latitude,Longitude,Altitude[m],Sats,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Mag x,Mag y,Mag z,Battery[]
22,11,25.19,98439.7,5/31/2026,22:6:49.157,65.86030895737031,40.65052,-78.01746,332.4,7,-0.11007,9.82373,0.57308,0.02443,-0.04032,-0.00489,-72.88804,33.49897,-65.03946,87
23,11,25.19,98441.77,5/31/2026,22:6:50.397,67.19819895737031,40.65051,-78.01747,332.4,8,-0.07178,9.87877,0.65922,0.02199,-0.04032,-0.00367,-72.90266,31.86203,-63.89944,87
24,11,25.2,98438.59,5/31/2026,22:6:56.652,73.03511395737031,40.65049,-78.01741,333.0,10,-0.1328,9.77109,0.49053,0.02443,-0.04032,-0.00489,-72.80035,33.01666,-64.10406,87
25,11,25.2,98437.01,5/31/2026,22:6:58.057,74.42866795737031,40.6505,-78.0174,333.1,9,-0.12443,9.79382,0.52403,0.02321,-0.04032,-0.00367,-72.33265,33.26513,-64.42561,87
25,12,25.2,98437.01,5/31/2026,22:6:58.057,74.43843395737031,40.6505,-78.0174,333.1,9,-0.12443,9.79382,0.52403,0.02321,-0.04032,-0.00367,-72.33265,33.26513,-64.42561,87
26,12,25.2,98436.15,5/31/2026,22:6:58.306,75.14058195737032,40.6505,-78.0174,333.1,9,-0.12682,9.801,0.51565,0.02321,-0.04032,-0.00489,-72.7565,32.81204,-64.29407,87
27,12,25.21,98436.5,5/31/2026,22:7:00.350,76.72651995737031,40.65051,-78.01739,333.2,9,-0.13639,9.78306,0.51805,0.02443,-0.04032,-0.00367,-72.58112,33.51359,-64.07483,87
28,12,25.21,98436.27,5/31/2026,22:7:01.192,77.99116795737031,40.65051,-78.01739,333.2,9,-0.134,9.79861,0.52283,0.02443,-0.04032,-0.00489,-72.84419,32.3005,-63.82636,87
28,13,25.21,98436.27,5/31/2026,22:7:01.192,78.00190995737032,40.65051,-78.01739,333.2,9,-0.134,9.79861,0.52283,0.02443,-0.04032,-0.00489,-72.84419,32.3005,-63.82636,87
29,13,25.22,98437.09,5/31/2026,22:7:04.278,81.12105095737031,40.65051,-78.01739,333.4,9,-0.10768,9.81895,0.5671,0.02321,-0.04032,-0.00489,-72.39111,33.0605,-64.2356,87
29,14,25.22,98437.09,5/31/2026,22:7:04.278,81.13081695737031,40.65051,-78.01739,333.4,9,-0.10768,9.81895,0.5671,0.02321,-0.04032,-0.00489,-72.39111,33.0605,-64.2356,87
30,14,25.22,98435.61,5/31/2026,22:7:05.450,82.26655895737031,40.65051,-78.01738,333.4,10,-0.12562,9.8022,0.52164,0.02443,-0.04032,-0.00489,-72.78574,32.46127,-64.5133,87
30,15,25.22,98435.61,5/31/2026,22:7:05.450,82.27632395737031,40.65051,-78.01738,333.4,10,-0.12562,9.8022,0.52164,0.02443,-0.04032,-0.00489,-72.78574,32.46127,-64.5133,87
31,15,25.22,98438.64,5/31/2026,22:7:06.304,82.6689029573703,40.65051,-78.01738,333.4,10,-0.12443,9.78425,0.5001,0.02443,-0.04032,-0.00489,-72.12803,33.58667,-65.12715,87
31,16,25.22,98438.64,5/31/2026,22:7:06.304,82.67964495737031,40.65051,-78.01738,333.4,10,-0.12443,9.78425,0.5001,0.02443,-0.04032,-0.00489,-72.12803,33.58667,-65.12715,87
32,16,25.23,98437.73,5/31/2026,22:7:09.157,85.94722295737031,40.65051,-78.01736,333.5,10,-0.12562,9.77707,0.50369,0.02321,-0.04032,-0.00489,-72.88804,33.49897,-63.97252,87
33,16,25.24,98435.36,5/31/2026,22:7:12.168,88.96968395737031,40.65051,-78.01734,333.6,10,-0.12084,9.80459,0.5348,0.02321,-0.04032,-0.00489,-72.97574,32.51973,-64.33791,87
34,16,25.24,98437.26,5/31/2026,22:7:12.479,89.2802309573703,40.65051,-78.01734,333.6,10,-0.11964,9.80579,0.52522,0.02443,-0.04032,-0.00367,-73.00497,32.66589,-64.29407,87
35,16,25.24,98435.36,5/31/2026,22:7:13.048,89.39058195737032,40.65051,-78.01734,333.6,9,-0.13519,9.8022,0.52403,0.02321,-0.04032,-0.00367,-73.04881,31.67202,-65.01022,87
35,17,25.24,98435.36,5/31/2026,22:7:13.048,89.40034795737031,40.65051,-78.01734,333.6,9,-0.13519,9.8022,0.52403,0.02321,-0.04032,-0.00367,-73.04881,31.67202,-65.01022,87
36,17,25.25,98432.76,5/31/2026,22:7:14.368,90.81538695737031,40.6505,-78.01734,333.6,9,-0.14596,9.79502,0.51565,0.02443,-0.04032,-0.00489,-72.66881,32.79742,-64.04559,87
36,18,25.25,98432.76,5/31/2026,22:7:14.368,90.8251529573703,40.6505,-78.01734,333.6,9,-0.14596,9.79502,0.51565,0.02443,-0.04032,-0.00489,-72.66881,32.79742,-64.04559,87
37,18,25.25,98439.2,5/31/2026,22:7:15.345,91.71284795737031,40.6505,-78.01734,333.6,9,-0.10887,9.86441,0.59342,0.02199,-0.0391,-0.00367,-72.78574,32.70973,-64.60099,87
38,18,25.26,98434.63,5/31/2026,22:7:17.260,93.58784795737031,40.65049,-78.01733,333.5,9,-0.13639,9.77827,0.5013,0.02566,-0.04032,-0.00489,-72.66881,31.26279,-64.10406,87
38,19,25.26,98434.63,5/31/2026,22:7:17.260,93.59761395737031,40.65049,-78.01733,333.5,9,-0.13639,9.77827,0.5013,0.02566,-0.04032,-0.00489,-72.66881,31.26279,-64.10406,87
39,19,25.26,98438.03,5/31/2026,22:7:17.008,93.78511395737031,40.65049,-78.01733,333.5,9,-0.13759,9.77588,0.5013,0.02443,-0.04154,-0.00367,-72.82958,34.40514,-66.01871,87
39,20,25.26,98438.03,5/31/2026,22:7:17.008,93.79487895737032,40.65049,-78.01733,333.5,9,-0.13759,9.77588,0.5013,0.02443,-0.04154,-0.00367,-72.82958,34.40514,-66.01871,87
40,20,25.26,98436.31,5/31/2026,22:7:17.075,93.85249595737031,40.65049,-78.01733,333.5,9,-0.11964,9.79382,0.52881,0.02443,-0.0391,-0.00489,-72.06956,33.36744,-63.63636,87
40,21,25.26,98436.31,5/31/2026,22:7:17.075,93.86226195737031,40.65049,-78.01733,333.5,9,-0.11964,9.79382,0.52881,0.02443,-0.0391,-0.00489,-72.06956,33.36744,-63.63636,87
41,21,25.26,98435.73,5/31/2026,22:7:18.184,94.94722295737031,40.65049,-78.01733,333.5,9,-0.12203,9.81177,0.55992,0.02199,-0.04154,-0.00489,-72.87343,32.81204,-65.34639,87
41,22,25.26,98435.73,5/31/2026,22:7:18.184,94.95796495737031,40.65049,-78.01733,333.5,9,-0.12203,9.81177,0.55992,0.02199,-0.04154,-0.00489,-72.87343,32.81204,-65.34639,87
42,22,25.3,98442.11,5/31/2026,22:7:28.433,104.7157779573703,40.65049,-78.01732,333.2,8,-0.16391,9.80818,0.4008,0.02321,-0.03543,0.0,-71.11955,32.41742,-63.9579,86
42,23,25.3,98442.11,5/31/2026,22:7:28.433,104.72554295737031,40.65049,-78.01732,333.2,8,-0.16391,9.80818,0.4008,0.02321,-0.03543,0.0,-71.11955,32.41742,-63.9579,86
43,23,25.31,98441.12,5/31/2026,22:7:30.497,107.21480095737031,40.6505,-78.01732,333.2,9,-0.11007,9.79861,0.55633,0.02321,-0.04032,-0.00244,-72.85881,32.92897,-64.7033,86
43,24,25.31,98441.12,5/31/2026,22:7:30.497,107.22456695737031,40.6505,-78.01732,333.2,9,-0.11007,9.79861,0.55633,0.02321,-0.04032,-0.00244,-72.85881,32.92897,-64.7033,86
44,24,25.32,98441.75,5/31/2026,22:7:31.395,108.12495695737032,40.65049,-78.01731,333.2,9,-0.07896,9.7364,0.57547,0.02199,-0.04032,-0.00367,-72.77111,32.09587,-64.74715,86
44,25,25.32,98441.75,5/31/2026,22:7:31.395,108.13569895737031,40.65049,-78.01731,333.2,9,-0.07896,9.7364,0.57547,0.02199,-0.04032,-0.00367,-72.77111,32.09587,-64.74715,86
45,25,25.32,98442.36,5/31/2026,22:7:32.448,109.17378495737032,40.65049,-78.01731,333.1,9,-0.13639,9.78545,0.52762,0.02443,-0.04032,-0.00489,-72.44957,32.56358,-64.00175,86
45,26,25.32,98442.36,5/31/2026,22:7:32.448,109.18355095737031,40.65049,-78.01731,333.1,9,-0.13639,9.78545,0.52762,0.02443,-0.04032,-0.00489,-72.44957,32.56358,-64.00175,86
46,26,25.33,98443.18,5/31/2026,22:7:36.470,113.18550395737032,40.65048,-78.01732,332.9,10,-0.36012,9.77468,0.74417,-0.02566,-0.05253,-0.01955,-71.92341,32.43204,-63.66559,86
47,26,25.34,98433.14,5/31/2026,22:7:39.154,115.42769195737031,40.65046,-78.01732,332.7,9,-0.16989,8.5687,0.83031,0.03299,-0.02443,-0.17104,-71.28033,31.86203,-65.11253,86
47,27,25.34,98433.14,5/31/2026,22:7:39.154,115.43745695737032,40.65046,-78.01732,332.7,9,-0.16989,8.5687,0.83031,0.03299,-0.02443,-0.17104,-71.28033,31.86203,-65.11253,86
48,27,25.34,98438.64,5/31/2026,22:7:39.245,115.51851195737031,40.65046,-78.01732,332.7,9,-0.49531,9.72922,0.64606,0.02566,-0.0391,-0.00489,-70.90032,31.70126,-64.77638,86
48,28,25.34,98438.64,5/31/2026,22:7:39.245,115.5282779573703,40.65046,-78.01732,332.7,9,-0.49531,9.72922,0.64606,0.02566,-0.0391,-0.00489,-70.90032,31.70126,-64.77638,86
49,28,25.35,98442.16,5/31/2026,22:7:40.025,116.30757395737031,40.65045,-78.01733,332.7,9,-0.62453,9.71366,1.07557,0.011,0.2138,0.01588,-70.27185,32.28588,-65.05408,86
49,29,25.35,98442.16,5/31/2026,22:7:40.025,116.31831695737031,40.65045,-78.01733,332.7,9,-0.62453,9.71366,1.07557,0.011,0.2138,0.01588,-70.27185,32.28588,-65.05408,86
50,29,25.35,98443.5,5/31/2026,22:7:41.386,118.08882395737031,40.65044,-78.01733,332.6,9,-0.44985,9.81416,0.74178,0.02321,-0.04032,-0.00367,-71.83572,33.64513,-64.80561,86
50,30,25.35,98443.5,5/31/2026,22:7:41.386,118.09858995737031,40.65044,-78.01733,332.6,9,-0.44985,9.81416,0.74178,0.02321,-0.04032,-0.00367,-71.83572,33.64513,-64.80561,86
51,30,25.36,98440.1,5/31/2026,22:7:42.365,119.1083559573703,40.65044,-78.01733,332.6,9,-0.4678,9.75075,0.66281,0.02443,-0.0391,-0.00489,-71.66032,33.54282,-65.33177,86
51,31,25.36,98440.1,5/31/2026,22:7:42.365,119.11812095737031,40.65044,-78.01733,332.6,9,-0.4678,9.75075,0.66281,0.02443,-0.0391,-0.00489,-71.66032,33.54282,-65.33177,86
